x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
-0.403026,-0.162936,0,0,27.6551,11.472,55.4127,22.9841,83.3476,30.8813,
-0.405026,-0.162935,0,0,27.6539,11.4748,55.4088,22.9938,82.7259,30.5485,
-0.404026,-0.162936,0,0,27.6516,11.4801,55.4022,23.0093,82.8097,30.2278,
-0.404026,-0.162936,0,0,27.6502,11.4834,55.398,23.0194,82.8656,30.014,
-0.405026,-0.162936,0,0,27.6479,11.4887,55.3915,23.0349,82.9494,29.6934,
-0.404026,-0.161936,0,0,27.646,11.4929,55.3868,23.0458,83.0048,29.4806,
-0.404026,-0.161936,0,0,27.644,11.498,55.382,23.0577,83.0601,29.2686,
-0.404026,-0.161936,0,0,27.6407,11.5055,54.5494,22.6664,83.1427,28.9507,
-0.404026,-0.161936,0,0,27.6384,11.5104,54.586,22.5525,83.1978,28.7388,
-0.404026,-0.162936,0,0,27.6356,11.5171,54.6414,22.3807,83.281,28.4199,
-0.404026,-0.162936,0,0,27.6786,11.5451,54.6788,22.265,83.3369,28.206,
-0.404026,-0.162936,0,0,27.6744,11.5552,54.7163,22.1493,83.3928,27.9922,
-0.404026,-0.162936,0,0,27.7249,11.5931,54.8323,21.9896,83.5378,27.6784,
-0.404026,-0.163936,0,0,27.7211,11.6023,54.8701,21.8729,83.5942,27.4635,
-0.404026,-0.163936,0,0,27.7163,11.6141,54.9279,21.6957,83.6797,27.139,
-0.404026,-0.164936,0,0,27.7132,11.6216,54.9665,21.5773,83.7369,26.9222,
-0.404026,-0.164936,0,0,27.7094,11.6309,55.0253,21.3974,83.8235,26.5949,
-0.404027,-0.165935,0,0,27.7069,11.6367,55.0646,21.2771,83.8813,26.3762,
-0.404027,-0.166935,0,0,27.7052,11.6408,55.1047,21.1549,83.9399,26.1556,
-0.404027,-0.167935,0,0,27.7039,11.644,55.1661,20.9687,84.0293,25.8215,
-0.404027,-0.168934,0,0,27.7036,11.6447,55.2077,20.8429,84.0894,25.5971,
-0.404028,-0.169934,0,0,27.7043,11.6428,55.2713,20.6511,84.1809,25.2573,
-0.404028,-0.170934,0,0,27.7054,11.6401,55.3143,20.5218,84.2426,25.0291,
-0.404028,-0.171933,0,0,27.7081,11.633,55.38,20.3245,84.3362,24.6836,
-0.404029,-0.172933,0,0,27.7107,11.6269,55.4246,20.1915,84.3995,24.4516,
-0.405029,-0.173933,0,0,27.7137,11.6194,55.4697,20.0569,84.1499,24.1395,
-0.404029,-0.173933,0,0,27.7188,11.6067,55.5379,19.8536,84.2534,23.7174,
-0.405029,-0.174932,0,0,27.7225,11.5976,55.5838,19.7172,84.3227,23.435,
-0.405029,-0.174932,0,0,27.7286,11.5827,55.653,19.5114,84.4273,23.0101,
-0.404029,-0.174933,0,0,27.7326,11.5727,55.0353,19.1814,84.497,22.7268,
-0.405029,-0.174932,0,0,27.7368,11.5622,55.1004,18.944,84.5669,22.4427,
-0.405029,-0.174933,0,0,27.743,11.5468,55.198,18.5884,84.6717,22.0169,
-0.405029,-0.175932,0,0,27.7473,11.5363,55.2633,18.351,84.7418,21.7326,
-0.40603,-0.176932,0,0,27.7547,11.5178,55.3622,17.9916,84.8479,21.3029,
-0.40603,-0.177931,0,0,27.7603,11.5042,55.4289,17.7505,84.9194,21.0148,
-0.40603,-0.177931,0,0,26.9388,11.0896,55.5298,17.3866,85.0275,20.5804,
-0.40703,-0.178931,0,0,26.9872,10.9468,55.5969,17.1439,85.0996,20.2905,
-0.407031,-0.179931,0,0,27.0361,10.8025,55.6648,16.8993,85.1723,19.9988,
-0.408031,-0.179931,0,0,27.1102,10.5843,55.7673,16.5305,85.2821,19.5591,
-0.409031,-0.18093,0,0,27.1595,10.439,55.8356,16.2845,85.3552,19.2656,
-0.410031,-0.17993,0,0,27.2333,10.2214,55.9379,15.9156,85.4648,18.8254,
-0.411031,-0.17993,0,0,27.2819,10.0779,56.0055,15.6711,85.5373,18.5333,
-0.41203,-0.178931,0,0,27.3536,9.8652,56.1058,15.3066,85.6449,18.0974,
-0.41303,-0.177931,0,0,27.3541,9.7138,56.1243,15.0593,85.6681,17.805,
-0.413029,-0.175932,0,0,27.4228,9.50863,56.2217,14.7022,85.7728,17.3763,
-0.415029,-0.174932,0,0,27.4673,9.37518,56.2854,14.4673,85.8414,17.0936,
-0.416028,-0.172932,0,0,27.5317,9.18042,56.3784,14.1204,85.9418,16.6751,
-0.417028,-0.171933,0,0,27.5733,9.054,56.4392,13.8925,86.0074,16.3994,
-0.417027,-0.168934,0,0,27.6332,8.87014,56.5277,13.5565,86.1033,15.9919,
-0.418026,-0.166935,0,0,27.6716,8.75167,56.5852,13.3366,86.1657,15.7243,
-0.419026,-0.165935,0,0,27.7081,8.63698,56.6408,13.1206,86.2262,15.4605,
-0.419025,-0.162936,0,0,27.7607,8.47079,56.722,12.8025,86.3148,15.0709,
-0.419024,-0.161937,0,0,27.7942,8.36384,56.458,12.5485,86.3722,14.8151,
-0.420024,-0.159937,0,0,27.8266,8.25891,56.5144,12.2947,86.4287,14.5613,
-0.421023,-0.156938,0,0,27.8722,8.10924,56.596,11.9218,86.5102,14.1886,
-0.422023,-0.155939,0,0,27.9009,8.01406,56.6486,11.6779,86.391,13.9261,
-0.421022,-0.15394,0,0,27.9282,7.92161,56.6998,11.4369,86.4438,13.6595,
-0.422021,-0.15194,0,0,27.311,7.55405,56.7746,11.0808,86.5209,13.265,
-0.423021,-0.149941,0,0,27.3546,7.3676,56.8231,10.8468,86.571,13.0054,
-0.42302,-0.146942,0,0,27.4167,7.09575,56.8924,10.5037,86.6427,12.624,
-0.425019,-0.144943,0,0,27.4559,6.91926,56.9366,10.2797,86.6884,12.3744,
-0.425019,-0.141944,0,0,27.5114,6.6632,56.9994,9.95254,86.7536,12.0089,
-0.427018,-0.139945,0,0,27.5463,6.49754,57.0392,9.73943,86.7949,11.7702,
-0.427017,-0.135946,0,0,27.5949,6.25826,57.095,9.42914,86.8531,11.4217,
-0.427017,-0.133947,0,0,27.6251,6.10424,57.13,9.22782,86.8897,11.1949,
-0.428016,-0.131948,0,0,27.6535,5.95412,57.1633,9.03045,86.9245,10.972,
-0.429015,-0.127949,0,0,27.6924,5.73824,57.2095,8.74381,86.9731,10.6473,
-0.430014,-0.124951,0,0,27.7158,5.60088,57.2377,8.55933,87.0028,10.4374,
-0.429013,-0.120952,0,0,27.7464,5.40531,57.2755,8.29328,87.043,10.1334,
-0.431013,-0.118953,0,0,27.7647,5.28052,57.2987,8.12152,87.0677,9.93636,
-0.431012,-0.114955,0,0,28.7951,5.23304,58.3418,7.94992,88.1149,9.69787,
-0.431011,-0.111956,0,0,28.8166,5.12183,58.3682,7.79153,88.1429,9.51408,
-0.431011,-0.107957,0,0,28.8467,4.96485,58.4055,7.56383,88.1825,9.24829,
-0.43201,-0.105958,0,0,28.8651,4.86647,58.4288,7.4183,88.2074,9.07736,
-0.43201,-0.10196,0,0,28.8906,4.72715,58.4616,7.2084,88.2373,8.82898,
-0.433009,-0.0999605,0,0,28.9063,4.64055,58.4821,7.07475,88.2594,8.66923,
-0.433008,-0.0959621,0,0,28.9275,4.51893,58.5105,6.88267,88.2903,8.43809,
-0.433008,-0.0929633,0,0,28.946,4.40807,58.5363,6.70141,88.3184,8.2178,
-0.433008,-0.0909641,0,0,28.9573,4.33901,58.5523,6.58549,88.336,8.07589,
-0.434007,-0.0899645,0,0,28.6535,4.20387,58.5676,6.47253,88.3529,7.9369,
-0.433007,-0.0869658,0,0,28.675,4.04029,58.5891,6.30903,88.3768,7.73446,
-0.434007,-0.0859661,0,0,28.6883,3.93522,58.6024,6.20399,88.3916,7.60343,
-0.434006,-0.0829673,0,0,28.7068,3.78356,58.4505,6.01024,88.4125,7.41294,
